Company Name,Full Address,Category,Phone No,Company Website,Google Map Url
Snacks Distribution inc,,Wholesale grocer,Not found,snacksdistribution.com ,"https://www.google.com/maps/place/Snacks+Distribution+inc/@41.9239523,-88.8712016,9z/data=!4m10!1m2!2m1!1sexotic+snack+distribution!3m6!1s0x216a7fbb438001db:0xb8348f4440e321a0!8m2!3d41.833733!4d-87.7319639!15sChlleG90aWMgc25hY2sgZGlzdHJpYnV0aW9ukgEQd2hvbGVzYWxlX2dyb2NlcuABAA!16s%2Fg%2F11szlb4l6w?entry=ttu"
Snack Exotica,"1650 Premium Outlet Blvd #1117, Aurora, IL 60502",Convenience store,(224) 769-4450 ,Not found,"https://www.google.com/maps/place/Snack+Exotica/@41.9239523,-88.8712016,9z/data=!4m10!1m2!2m1!1sexotic+snack+distribution!3m6!1s0x880efb00537374d3:0xadef913501dea7bb!8m2!3d41.8008343!4d-88.2751475!15sChlleG90aWMgc25hY2sgZGlzdHJpYnV0aW9ukgERY29udmVuaWVuY2Vfc3RvcmXgAQA!16s%2Fg%2F11vzd96hvy?entry=ttu"
Exotic Soda Co.,"511 S Eastwood Dr, Woodstock, IL 60098",Soft drinks shop,(815) 308-5536 ,exoticsodaco.com ,"https://www.google.com/maps/place/Exotic+Soda+Co./@42.0497922,-89.1894235,9z/data=!4m10!1m2!2m1!1sexotic+snack+distribution!3m6!1s0x880f6944b699cf39:0x8beb82269eebd02b!8m2!3d42.3105922!4d-88.4322781!15sChlleG90aWMgc25hY2sgZGlzdHJpYnV0aW9ukgEQc29mdF9kcmlua3Nfc2hvcOABAA!16s%2Fg%2F11qg0twsbz?entry=ttu"
Epic Snack Shack - Exotic Snacks & Anime,"2558 N Clark St, Chicago, IL 60614",Convenience store,(312) 995-3634 ,epicsnackshack.com ,"https://www.google.com/maps/place/Epic+Snack+Shack+-+Exotic+Snacks+%26+Anime/@42.0497922,-89.1894235,9z/data=!4m10!1m2!2m1!1sexotic+snack+hub!3m6!1s0x880fd3b38b4d765b:0x835a0cf03dbea433!8m2!3d41.9292668!4d-87.642909!15sChBleG90aWMgc25hY2sgaHViUhgI_urV7hMQ2uGNoZ627N8qGgJlbiICVVNaEiIQZXhvdGljIHNuYWNrIGh1YmgBkgERY29udmVuaWVuY2Vfc3RvcmXgAQA!16s%2Fg%2F11vbrb2nvf?entry=ttu"
PT Snacks,"195 Fox Valley Center Dr, Aurora, IL 60504",Candy store,(630) 817-3545 ,ptsnacks.com ,"https://www.google.com/maps/place/PT+Snacks/@41.7584285,-89.4322466,9z/data=!3m1!5s0x880ef9ce75ac321f:0x7edf0a3a50d2c9fc!4m10!1m2!2m1!1sthe+exotic+snack+spot!3m6!1s0x880ef901892a5827:0x9175ba9d21a5b384!8m2!3d41.7584285!4d-88.2127642!15sChV0aGUgZXhvdGljIHNuYWNrIHNwb3RaFyIVdGhlIGV4b3RpYyBzbmFjayBzcG90kgELY2FuZHlfc3RvcmWaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTkRkV04xYlRWM1JSQULgAQA!16s%2Fg%2F11j4qpk132?entry=ttu"
Snack Shop,"452 W Pershing Rd, Chicago, IL 60609",Breakfast restaurant,(773) 373-8301 ,Not found,"https://www.google.com/maps/place/Snack+Shop/@41.7584285,-89.4322466,9z/data=!4m10!1m2!2m1!1sthe+exotic+snack+spot!3m6!1s0x880e2c1878c48bd7:0x45f0ae418ab1dac2!8m2!3d41.8239053!4d-87.6382579!15sChV0aGUgZXhvdGljIHNuYWNrIHNwb3RaFyIVdGhlIGV4b3RpYyBzbmFjayBzcG90kgEUYnJlYWtmYXN0X3Jlc3RhdXJhbnSaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTkhlSEkyZVZCUkVBReABAA!16s%2Fg%2F1td2n1qr?entry=ttu"
8 Ave Snack Shack,"249 W Cermak Rd, Chicago, IL 60616",Asian grocery store,(312) 998-9038 ,Not found,"https://www.google.com/maps/place/8+Ave+Snack+Shack/@41.9232756,-88.9170814,9z/data=!4m10!1m2!2m1!1sthe+exotic+snack+spot!3m6!1s0x880e2db4849f43bb:0x9f8aae83f404b77c!8m2!3d41.8526409!4d-87.6336672!15sChV0aGUgZXhvdGljIHNuYWNrIHNwb3RaFyIVdGhlIGV4b3RpYyBzbmFjayBzcG90kgETYXNpYW5fZ3JvY2VyeV9zdG9yZZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VORWJVMXVRbDlCUlJBQuABAA!16s%2Fg%2F11fhxwpbmy?entry=ttu"
Snack Shop,"Countryside, IL 60525",Store,Not found,Not found,"https://www.google.com/maps/place/Snack+Shop/@41.7901389,-89.0877144,9z/data=!4m10!1m2!2m1!1sthe+exotic+snack+spot!3m6!1s0x880e49cf666b71b3:0x398a358ed494a07e!8m2!3d41.7901389!4d-87.868232!15sChV0aGUgZXhvdGljIHNuYWNrIHNwb3SSAQVzdG9yZeABAA!16s%2Fg%2F11j4fdf662?entry=ttu"
The Snack Shop,"915 W Belmont Ave, Chicago, IL 60657",Candy store,(224) 531-3625 ,thesnackshop.com ,"https://www.google.com/maps/place/The+Snack+Shop/@41.9398288,-87.6902943,14z/data=!4m10!1m2!2m1!1sexotic+snack+hub!3m6!1s0x880fd3006e8bd791:0xfafecd14a7799e35!8m2!3d41.9398288!4d-87.6521855!15sChBleG90aWMgc25hY2sgaHVikgELY2FuZHlfc3RvcmXgAQA!16s%2Fg%2F11vzqh5cmn?entry=ttu"
Munch Bros.,"3217 W Bryn Mawr Ave suite 103, Chicago, IL 60659",Snack bar,(773) 733-8882 ,Not found,"https://www.google.com/maps/place/Munch+Bros./@41.9829355,-87.7477612,14z/data=!4m10!1m2!2m1!1sexotic+snack+shop!3m6!1s0x880fcf2bada0ce75:0x982f22b1d0e7e380!8m2!3d41.9829355!4d-87.7096524!15sChFleG90aWMgc25hY2sgc2hvcCIDiAEBkgEJc25hY2tfYmFy4AEA!16s%2Fg%2F11nxvdtr7b?entry=ttu"
Walmart Supercenter,"4626 W Diversey Ave, Chicago, IL 60639",Department store,(773) 628-1880 ,walmart.com ,"https://www.google.com/maps/place/Walmart+Supercenter/@41.9342784,-87.7811323,14z/data=!4m9!1m2!2m1!1sexotic+snack+shop!3m5!1s0x880fccf920426bf9:0x361c1f39cc6c71f5!8m2!3d41.9342784!4d-87.7430235!16s%2Fg%2F12qg4rb1_?entry=ttu"
Lakeshore Munchies,"1603 N Lake Shore Dr, Chicago, IL 60611",Candy store,(773) 818-3576 ,Not found,"https://www.google.com/maps/place/Lakeshore+Munchies/@41.9141274,-87.6630803,14z/data=!4m10!1m2!2m1!1sexotic+snack+shop!3m6!1s0x880fd30aef889ba1:0x8a93de51ef8a90bb!8m2!3d41.9141274!4d-87.6249715!15sChFleG90aWMgc25hY2sgc2hvcCIDiAEBWhMiEWV4b3RpYyBzbmFjayBzaG9wkgELY2FuZHlfc3RvcmXgAQA!16s%2Fg%2F11t8h4ppp3?entry=ttu"
VIP Smoke and Exotic Snacks ,"2356 W Chicago Ave, Chicago, IL 60622",Smoke shop,(773) 904-8955 ,Not found,"https://www.google.com/maps/place/VIP+Smoke+and+Exotic+Snacks+%7C+SMOKE+SHOP+NEAR+ME+%7C+VAPES+%7C+CIGARS+%7C+THC+%7C+CBD/@41.8959419,-87.7246331,14z/data=!4m10!1m2!2m1!1sexotic+snack+shop!3m6!1s0x880e2da2e3400819:0x37cb3c31c9a2a25d!8m2!3d41.8959419!4d-87.6865243!15sChFleG90aWMgc25hY2sgc2hvcCIDiAEBWhMiEWV4b3RpYyBzbmFjayBzaG9wkgEKc21va2Vfc2hvcOABAA!16s%2Fg%2F11vhph5b3b?entry=ttu"
